doc,method,tokens,saved_pct,legible,lossless,fact_preserved
0,raw,1071,-0.6,True,True,1
0,recency,379,64.4,True,False,0
0,digest,453,57.5,True,False,0
0,codec,299,71.9,True,True,1
0,llmlingua2,270,74.6,True,False,1
0,llmlingua2_aggr,78,92.7,True,False,0
1,raw,1181,-0.3,True,True,1
1,recency,374,68.2,True,False,0
1,digest,421,64.2,True,False,0
1,codec,301,74.4,True,True,1
1,llmlingua2,249,78.8,True,False,1
1,llmlingua2_aggr,71,94.0,True,False,1
2,raw,1229,-0.3,True,True,1
2,recency,370,69.8,True,False,0
2,digest,400,67.3,True,False,0
2,codec,299,75.6,True,True,1
2,llmlingua2,242,80.2,True,False,1
2,llmlingua2_aggr,76,93.8,True,False,1
3,raw,1225,-0.2,True,True,1
3,recency,479,60.8,True,False,0
3,digest,396,67.6,True,False,0
3,codec,300,75.5,True,True,1
3,llmlingua2,242,80.2,True,False,1
3,llmlingua2_aggr,77,93.7,True,False,1
4,raw,1351,-0.3,True,True,1
4,recency,597,55.7,True,False,0
4,digest,377,72.0,True,False,0
4,codec,299,77.8,True,True,1
4,llmlingua2,222,83.5,True,False,1
4,llmlingua2_aggr,67,95.0,True,False,0
5,raw,1288,-0.3,True,True,1
5,recency,538,58.1,True,False,0
5,digest,389,69.7,True,False,0
5,codec,299,76.7,True,True,1
5,llmlingua2,238,81.5,True,False,1
5,llmlingua2_aggr,60,95.3,True,False,1
6,raw,1230,-0.3,True,True,1
6,recency,424,65.4,True,False,0
6,digest,400,67.4,True,False,0
6,codec,300,75.5,True,True,1
6,llmlingua2,254,79.3,True,False,1
6,llmlingua2_aggr,64,94.8,True,False,0
7,raw,1231,-0.2,True,True,1
7,recency,424,65.5,True,False,1
7,digest,400,67.4,True,False,0
7,codec,301,75.5,True,True,1
7,llmlingua2,244,80.1,True,False,1
7,llmlingua2_aggr,76,93.8,True,False,1
